# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

﻿Clan (Other) Aerospace Fighters, Widowmaker Absorption (2834)
Cheetah F-10, 1
Zero ZRO-116b, 2
Lightning LTN-G15b, 3
Tomahawk 'C', 4
Trident TRN-3T, 5
Gotha GTHA-500b, 6
Eagle EGL-R6b, 5
Hellcat HCT-213, 4
Stuka STU-K5b, 3
Ahab AHB-443b, 2
Swift C, 1
