# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

Clan (Other) Assault ‘Meks, Widowmaker Absorption (2834)
Kraken (Bane) (Standard), 1
Emperor EMP-6A, 2
Thug THG-11Eb, 3
Longbow LGB-7Q, 4
Marauder IIC (Standard), 5
Crockett CRK-5003-1, 6
Wakazashi (Standard), 5
Stalker STK-3Fb, 4
Annihilator ANH-1X, 3
Pulverizer PUL-2V, 2
Atlas AS7-D, 1
