# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

﻿Clan (Other) Heavy ‘Meks, Widowmaker Absorption (2834)
Marauder MAD-1R, 1
Bombardier BMB-12D, 2
Archer ARC-2Rb, 3
Lancelot LNC25-01, 4
Warhammer WHM-7A, 5
Thunderbolt TDR-5Sb, 6
Cestus CTS-6Y, 5
Marauder MAD-2R, 4
Black Knight BL-6b-KNT, 3
Catapult CPLT-C1, 2
Excalibur EXC-B2, 1
