# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

Clan Widowmaker Aerospace Fighters, Widowmaker Absorption (2834)
Trident TRN-3T, 1
Swift SWF-606, 2
Hellcat II HCT-213C, 3
Gotha GTHA-500b, 4
Zero ZRO-116b, 5
Rogue RGU-133Eb, 6
Corsair CSR-V12b, 5
Tomahawk THK-63b, 4
Hellcat HCT-213, 3
Chippewa CHP-W5b, 2
Xerxes (Standard), 1
