# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

﻿Clan Widowmaker Assault ‘Meks, Widowmaker Absorption (2834)
Nightstar NSR-9J, 1
King Crab KGC-000b, 2
Shogun SHG-2H, 3
Awesome AWS-8Q, 4
Stalker STK-3Fb, 5
BattleMaster BLR-1Gb, 6
Annihilator ANH-1X, 5
Thug THG-11Eb, 4
Pillager PLG-3Z, 3
Highlander HGN-732b, 2
Rifleman II RFL-3N-2, 1
