# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

﻿Clan Wolf Aerospace Fighters, Widowmaker Absorption (2834)
Rogue RGU-133Eb, 1
Tomahawk 'C', 2
Spad SPD-502, 3
Gotha GTHA-500b, 4
Rogue RGU-133Eb, 5
Corsair CSR-V12b, 6
Sabre SB-27b, 5
Ironsides IRN-SD1b, 4
Rapier RPR-100b, 3
Swift C, 2
Hammerhead HMR-HDb, 1
