# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

Clan Wolf Heavy ‘Meks, Widowmaker Absorption (2834)
Exterminator EXT-4Db, 1
Archer ARC-2Rb, 2
Warhammer WHM-6Rb, 3
Crusader CRD-2R, 4
Catapult CPLT-C1, 5
Marauder MAD-2R, 6
Champion CHP-1Nb, 5
Warhammer WHM-7A, 4
Galahad GLH-2D, 3
Flashman FLS-8K, 2
Orion ON1-V, 1
