# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

﻿Clan Wolf Medium ‘Meks, Widowmaker Absorption (2834)
Kintaro KTO-19b, 1
Hunchback HBK-4G, 2
Shadow Hawk IIC (Standard), 3
Sentinel STN-3Lb, 4
Crab CRB-27b, 5
Griffin GRF-2N, 6
Phoenix Hawk PXH-1b (Special), 5
Starslayer STY-3C, 4
Whitworth WTH-1, 3
Hoplite HOP-4Bb, 2
Lynx LNX-9Q, 1
