# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

DCMS Assault Meks Early 3059, Tech Level B
Gunslinger GUN-1ERD,1
Charger CGR-3K,2
Hatamoto-Mizo HTM-27Y,3
Hatamoto-Hi HTM-27U,4
Hatamoto-Chi HTM-27T,5
Sunder SD1-O,6
Mauler MAL-1R,5
Cyclops CP-11-C,4
Hatamoto-Kaze HTM-27V,3
Cerberus MR-V2,2
O-Bakemono OBK-M10,1
