# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

DCMS Heavy Meks Early 3059, Tech Level D
JagerMech JM6-DD,1
Ostroc OSR-2C,2
Catapult CPLT-K2,3
Grand Dragon DRG-1G,4
Dragon DRG-1C,5
Dragon DRG-1N,6
Quickdraw QKD-4G,5
Thunderbolt TDR-5S,4
Archer ARC-2K,3
Ostsol OTL-4D,2
Quickdraw QKD-5M,1
