# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

DCMS Medium Meks Early 3059, Tech Level A
Daimyo DMO-1K,1
Grim Reaper GRM-R-PR29,2
Wolf Trap (Tora) WFT-1,3
Blackjack BJ2-O,4
Blackjack BJ2-O,5
Strider SR1-O,6
Wolverine WVR-7K,5
Firestarter FS9-O,4
Firestarter FS9-O,3
Lynx LNX-9C,2
Komodo KIM-2A,1
