# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

3059 Free Worlds League Assault Meks, Tech Level B
Victor VTR-9K,1
Longbow LGB-7Q,2
Cyclops CP-11-A,3
Cyclops CP-11-A,4
Stalker STK-5M,5
Stalker STK-3F,6
BattleMaster BLR-3M,5
Awesome AWS-9M,4
Goliath GOL-3M,3
Banshee BNC-5S,2
Atlas AS7-D,1
