# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

3059 Free Worlds League Medium Meks, Tech Level C
Vulcan VT-5M,1
Hunchback HBK-5M,2
Griffin GRF-3M,3
Griffin GRF-1N,4
Phoenix Hawk PXH-1,5
Shadow Hawk SHD-2H,6
Trebuchet TBT-7M,5
Hermes II HER-5S,4
Cicada CDA-2A,3
Cicada CDA-3M,2
Scorpion SCP-1O,1
