# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

3059 Mercenary Assault Meks, Tech Level A
Grand Titan T-IT-N10M,1
Sunder SD1-O,2
Awesome AWS-9M,3
Atlas AS7-D,4
Annihilator ANH-2A,5
Marauder II MAD-5A,6
Berserker BRZ-A3,5
Cerberus MR-V2,4
Emperor EMP-6A,3
Masakari (Warhawk) Prime,1
Daishi (Dire Wolf) Prime,1
Behemoth (Stone Rhino) (Standard),1
