# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

3059 Mercenary Assault Meks, Tech Level B
Nightstar NSR-9J,2
Albatross ALB-3U,4
Stalker STK-3F,6
Victor VTR-9B,8
Marauder II MAD-5A,10
BattleMaster BLR-1G,12
Atlas AS7-K,10
Victor VTR-9K,8
Cerberus MR-V2,6
Berserker BRZ-A3,4
Man O' War (Gargoyle) Prime,1
Gladiator (Executioner) Prime,1
