# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

3059 Mercenary Heavy Meks, Tech Level A
Warhammer WHM-7M,1
Avatar AV1-O,2
Marauder MAD-5M,3
Orion ON1-K,4
Caesar CES-3R,5
Ostsol OTL-5M,6
Penetrator PTR-4D,5
Tempest TMP-3M,4
Dragon Fire DGR-3F,3
Mad Cat (Timber Wolf) Prime,1
Thor (Summoner) Prime,1
Viper (Black Python) (Standard),1
