# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

3059 Mercenary Heavy Meks, Tech Level C
Gallowglas GAL-1GLS,1
Warhammer WHM-7M,2
Crusader CRD-5M,3
Archer ARC-2R,4
Ostsol OTL-4D,5
JagerMech JM6-DD,6
Archer ARC-4M,5
Marauder MAD-3R,4
Grasshopper GHR-5J,3
Quickdraw QKD-5M,2
Marauder MAD-5D,1
