# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

3059 Mercenary Light Meks, Tech Level A
Hitman HM-1,1
Owens OW-1,2
Panther PNT-10K,3
Jenner JR7-D,4
Flea FLE-17,5
Raven RVN-3L,6
Venom SDR-9K,5
Dart DRT-3S,4
Spector SPR-5F,3
Puma (Adder) Prime,1
Dasher (Fire Moth) Prime,1
Vixen (Incubus) (Standard),1
