# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

3059 Mercenary Light Meks, Tech Level C
Scarabus SCB-9A,1
Panther PNT-10K,2
Valkyrie VLK-QD,3
Spider SDR-5V,4
Commando COM-2D,5
Locust LCT-1V,6
Jenner JR7-K,5
Ostscout OTT-7J,4
Spider SDR-7M,3
Firestarter FS9-S,2
Wasp WSP-3M,1
