# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

3059 Mercenary Medium Meks, Tech Level A
Wraith TR1,1
Strider SR1-O,2
Trebuchet TBT-7M,3
Enforcer ENF-4R,4
Hatchetman HCT-5S,5
Phoenix Hawk PXH-3M,6
Stealth STH-1D,5
Nightsky NGS-4S,4
Enfield END-6Q,3
Fenris (Ice Ferret) Prime,1
Ryoken (Stormcrow) Prime,1
Goshawk (Vapor Eagle) (Standard),1
