# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

3059 Mercenary Medium Meks, Tech Level C
Snake SNK-1V,1
Blackjack BJ-2,2
Hunchback HBK-5M,3
Vindicator VND-1R,4
Centurion CN9-A,5
Griffin GRF-1N,6
Centurion CN9-D,5
Phoenix Hawk PXH-1,4
Enforcer ENF-5D,3
Cicada CDA-3M,2
Vulcan VT-5M,1
