# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

Late 3062 AFFS Assault Meks, Tech Level A
Templar TLR1-OB,1
Templar TLR1-OA,2
Salamander PPR-5S,3
Nightstar NSR-9FC,4
Devastator DVS-2,5
Nightstar NSR-9J,6
Gunslinger GUN-1ERD,5
Emperor EMP-6A,4
Longbow LGB-7Q,3
Templar TLR1-O,2
Berserker BRZ-A3,1
