# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

Late 3062 AFFS Heavy Meks, Tech Level A
Cataphract CTF-3D,1
Caesar CES-3R,2
JagerMech JM7-F,3
JagerMech JM7-D,4
Cestus CTS-6Y,5
Falconer FLC-8R,6
Penetrator PTR-4D,5
Rakshasa MDG-1A,4
Gallowglas GAL-1GLS,3
Penetrator PTR-6S,2
Helios HEL-3D,1
