# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

Late 3062 AFFS Medium Meks, Tech Level B
Strider SR1-O,1
Lynx LNX-9Q,2
Enforcer III ENF-6M,3
Sentry SNT-04,4
Watchman WTC-4M,5
Stealth STH-1D,6
Enforcer ENF-5D,5
Enforcer III ENF-6M,4
Blackjack BJ2-OC,3
Nightsky NGS-4S,2
Starslayer STY-3C,1
