# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

Late 3062 AFFS Medium Meks, Tech Level D
Centurion CN9-D,1
Blackjack BJ-2,2
Whitworth WTH-2,3
Enforcer ENF-4R,4
Dervish DV-7D,5
Enforcer ENF-5D,6
Trebuchet TBT-7M,5
Dervish DV-7D,4
Hatchetman HCT-5S,3
Bushwacker BSW-X1,2
Vulcan VT-5M,1
