# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

Capellan Confederation Assault ‘Meks, DATP:Liao
Yu Huang Y-H9GC, 1
Atlas AS7-K2, 2
Longbow LGB-12R, 3
Goliath GOL-3L, 4
Emperor EMP-7L, 5
Pillager PLG-5Z, 6
Striker STC-2D, 5
Longbow LGB-14C, 4
Xanthos XNT-5O, 3
Trebaruna TR-XL, 2
BattleMaster BLR-4L, 1
