# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

﻿Capellan Confederation Heavy ‘Meks, DATP:Liao
Shen Yi SHY-3B, 1
Tundra Wolf 3, 2
Catapult CPLT-C6, 3
Thunderbolt TDR-10M, 4
Ryoken II (Standard), 5
Cataphract CTF-3LL, 6
Thunder THR-2L, 5
Lao Hu LHU-3C, 4
Penthesilea PEN-2H, 3
Jinggau JN-G8A, 2
Ti Ts'ang TSG-9C, 1
