# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

Capellan Confederation Light ‘Meks, DATP:Liao
Wasp WSP-3L, 1
Stinger STG-5G, 2
Wasp WSP-7MAF, 3
Koshi (Standard), 4
Pack Hunter 4, 5
Raven RVN-4Lr, 6
Ebony MEB-10, 5
Blade BLD-XL, 4
Locust LCT-5T, 3
Spider SDR-8R, 2
UrbanMech UM-R80, 1
