# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

﻿Liao Insurgent ‘Meks, DATP:Liao
Jabberwocky JAW-66B EngineerMech, 1
Carbine CON-1 ConstructionMech (RL), 2
Harvester HVR-99 AgroMech (Standard), 3
CattleMaster CTL-3R 'Herder' IndustrialMech, 4
DemolitionMech WI-DM2, 5
Powerman SC XI LoaderMech (Standard), 6
Buster BC XV-M-W HaulerMech MOD, 5
Hyena HYN-4A SalvageMech, 4
Kiso K-3N-KR4 ConstructionMech, 3
Peacemaker PM-6 PoliceMech,2
Crosscut ED-X2 LoggerMech (RL), 1
