# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

Republic of the Sphere Light ‘Meks, DATP:Liao
Koshi (Standard), 1
Pack Hunter 3, 2
Raven RVN-4L, 3
Panther PNT-10K2, 4
Mjolnir MLR-B2, 5
Ocelot 3, 6
Locust LCT-6M, 5
Stinger STG-5T, 4
Valiant V4-LNT-J3, 3
Spider SDR-8R, 2
Blade BLD-XL, 1
