# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

﻿Com Guard Heavy ‘Meks, DATP: Epsilon Eridani
Scourge SCG-WF1, 1
Guillotine GLT-6WB, 2
Dragoon AEM-05C, 3
Uraeus UAE-7R, 4
Excalibur EXC-D1, 5
Marauder MAD-9W, 6
Archer ARC-9W, 5
Uraeus UAE-7R, 4
Lancelot LNC25-04, 3
Vulture Mk IV (Mad Dog Mk IV) Prime, 2
Mad Cat (Timber Wolf) BLO, 1
