# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

﻿Com Guard Light ‘Meks, DATP: Epsilon Eridani
Celerity CLR-03-O, 1
Falcon Hawk FNHK-9K1B, 2
Hussar HSR-500-D, 3
Mercury MCY-102, 4
Blade BLD-XX, 5
Locust LCT-5W2, 6
Valkyrie VLK-QW5, 5
Havoc HVC-P6, 4
Crimson Hawk 3, 3
Koshi (Mist Lynx) Prime, 2
Uller (Kit Fox) BLO, 1
