# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

﻿Com Guard Medium ‘Meks, DATP: Epsilon Eridani
Dasher II (Standard), 1
Hermes II HER-5C, 2
Crab CRB-30, 3
Kheper KHP-7R, 4
Lineholder KW2-LHW, 5
Shadow Hawk SHD-11CS, 6
Eisenfaust EFT-7X, 5
Kheper KHP-7R, 4
Griffin GRF-6CS, 3
Mongoose II MON-266, 2
Gravedigger GDR-1D, 1
