# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

﻿Oriente Protectorate Light ‘Meks, DATP: Epsilon Eridani
Wight WGT-2SC, 1
Stinger STG-3Gb, 2
Falcon Hawk FNHK-9K, 3
Locust LCT-5W2, 4
Spider SDR-8M, 5
Hermes HER-4K, 6
Havoc HVC-P6, 5
Eagle EGL-3M, 4
Wasp WSP-8T, 3
Hammer HMR-3C 'Claw-Hammer', 2
Crimson Hawk (Standard), 1
