# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

﻿Republic Armed Forces Heavy ‘Meks, DATP: Epsilon Eridani
Gallant GLT-7-0, 1
Scourge SCG-WF1, 2
Ryoken II (Standard), 3
Thunderbolt TDR-10SE, 4
Excalibur EXC-B2b, 5
Lament LMT-2R, 6
Prefect PRF-1R, 5
Marauder MAD-9M2, 4
Lament LMT-4RC, 3
Thor (Summoner) Prime, 2
Mad Cat Mk IV (Savage Wolf) (Prime), 1
