# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

﻿Republic Armed Forces Light ‘Meks, DATP: Epsilon Eridani
Blade BLD-XL, 1
Wolfhound WLF-4W, 2
Locust IIC 8, 3
Arbalest (Standard), 4
Ostscout OTT-11J, 5
Jenner IIC 4, 6
Havoc HVC-P6, 5
Jackalope JLP-BD, 4
Pack Hunter II (Standard), 3
Puma (Adder) Prime, 2
Hankyu (Arctic Cheetah) Prime, 1
