# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

﻿Republic Armed Forces Medium ‘Meks, DATP: Epsilon Eridani
Dasher II (Standard), 1
Targe TRG-2N, 2
Night Stalker NSR-K3, 3
Osprey OSP-26, 4
Griffin GRF-5M, 5
Griffin IIC 3, 6
Mad Cat III (Standard), 5
Shadow Hawk IIC 8, 4
Stalking Spider II (Standard), 3
Dragonfly (Viper) Prime, 2
Raptor II RPT-5X, 1
