# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

﻿Republic Militia/Spirit Cat Heavy ‘Meks, DATP: Epsilon Eridani
Deep Lord MilitiaMech RCL-Z1M, 1
Ostsol OTL-9R, 2
Dig Lord RCL-4 MiningMech, 3
Lumberjack LM5/M MilitiaMech, 4
Gallant GLT-7-0, 5
Sphinx 3, 6
Vulture (Mad Dog) Prime, 5
Deep Lord MilitiaMech RCL-Z1M, 4
Sphinx 2, 3
Thor II (Grand Summoner) (Prime), 2
Nova Cat Prime, 1
