# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

﻿Republic Militia/Spirit Cat Light ‘Meks, DATP: Epsilon Eridani
Sokuryou SKU-198 SurveyMech, 1
Ostscout OTT-11J, 2
Copper SecurityMech CPK-65, 3
Carbine CON-9M ConstructionMech MOD, 4
Firestarter FS9-M2, 5
Ocelot 2, 6
Spider SDR-7K, 5
Copper SecurityMech CPK-65, 4
Uller (Kit Fox) Prime, 3
Crimson Hawk (Standard), 2
Arbalest (Standard), 1
