# MegaMek Data (C) 2025 by The MegaMek Team is licensed under CC BY-NC-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/
#
# NOTICE: The MegaMek organization is a non-profit group of volunteers
# creating free software for the BattleTech community.
#
# MechWarrior, BattleMech, `Mech and AeroTech are registered trademarks
# of The Topps Company, Inc. All Rights Reserved.
#
# Catalyst Game Labs and the Catalyst Game Labs logo are trademarks of
# InMediaRes Productions, LLC.
#
# MechWarrior Copyright Microsoft Corporation. MegaMek Data was created under
# Microsoft's "Game Content Usage Rules"
# <https://www.xbox.com/en-US/developers/rules> and it is not endorsed by or
# affiliated with Microsoft.

﻿Republic Militia/Spirit Cat Light ‘Meks, DATP: Epsilon Eridani
Raider JL-1, 1
Stalking Spider II (Standard), 2
Buster BC XV-M-B HaulerMech MOD, 3
Sarissa MN1-D, 4
Legionnaire LGN-2D, 5
Shadow Hawk IIC 9, 6
Hatchetman HCT-7S, 5
Sarissa SecurityMech MN2-A, 4
Shockwave SKW-6H, 3
Targe TRG-3M, 2
Black Hawk (Standard), 1
